ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000010.SH,20240826,7454.392,7471.8841,7486.713,7423.0877,7466.1775,-11.7855,-0.1579,69713042.0,86407843.3
000010.SH,20240823,7466.1775,7417.91,7484.8972,7417.507,7428.6645,37.513,0.505,65352525.0,85297542.8
000010.SH,20240822,7428.6645,7445.4236,7457.05,7413.2534,7443.0699,-14.4054,-0.1935,70320671.0,89103180.2
000010.SH,20240821,7443.0699,7447.1289,7468.2824,7405.9921,7464.7106,-21.6407,-0.2899,62521604.0,78193637.2
000010.SH,20240820,7464.7106,7525.7897,7527.1052,7436.7649,7513.7286,-49.018,-0.6524,74649996.0,88455811.5
000010.SH,20240819,7513.7286,7474.3626,7546.6454,7472.7419,7475.3389,38.3897,0.5136,77710564.0,92053973.8
000010.SH,20240816,7475.3389,7461.7087,7495.1165,7450.8167,7462.2019,13.137,0.176,68961850.0,85904090.2
000010.SH,20240815,7462.2019,7358.3308,7490.343,7347.1959,7378.1422,84.0597,1.1393,71544604.0,95655526.3
000010.SH,20240814,7378.1422,7421.6865,7421.7347,7376.9222,7423.6704,-45.5282,-0.6133,54991528.0,75397241.9
000010.SH,20240813,7423.6704,7417.6809,7425.9532,7372.7471,7408.9521,14.7183,0.1987,57980483.0,76662873.6
000010.SH,20240812,7408.9521,7404.9198,7431.6316,7394.3949,7416.0295,-7.0774,-0.0954,54081700.0,72089795.6
000010.SH,20240809,7416.0295,7468.1644,7484.2988,7416.0295,7432.4808,-16.4513,-0.2213,61306949.0,90163481.0
000010.SH,20240808,7432.4808,7412.414,7479.3578,7389.7938,7429.5007,2.9801,0.0401,61319155.0,93157540.0
000010.SH,20240807,7429.5007,7415.5893,7476.8498,7399.3788,7424.1594,5.3413,0.0719,67709572.0,94835959.9
000010.SH,20240806,7424.1594,7487.0761,7503.5521,7367.4774,7439.7163,-15.5569,-0.2091,83535036.0,115124042.0
000010.SH,20240805,7439.7163,7482.5658,7569.0317,7439.7163,7525.0806,-85.3643,-1.1344,98269452.0,138356135.3
000010.SH,20240802,7525.0806,7544.6954,7593.8137,7518.0993,7598.7403,-73.6597,-0.9694,85522465.0,118317072.8
000010.SH,20240801,7598.7403,7632.8804,7646.7182,7598.7403,7631.9887,-33.2484,-0.4356,99106656.0,134332389.4
000010.SH,20240731,7631.9887,7482.8836,7640.4068,7478.3602,7487.9462,144.0425,1.9237,120162375.0,166728666.1
000010.SH,20240730,7487.9462,7509.2185,7509.2185,7451.7316,7528.193,-40.2468,-0.5346,74093912.0,107601399.5
000010.SH,20240729,7528.193,7536.154,7566.4105,7511.9234,7543.7164,-15.5234,-0.2058,79608561.0,107011493.8
000010.SH,20240726,7543.7164,7546.4899,7572.0855,7504.4915,7555.1278,-11.4114,-0.151,87018189.0,116139917.2
000010.SH,20240725,7555.1278,7589.5236,7601.4837,7521.512,7615.8296,-60.7018,-0.797,94974550.0,123669015.2
000010.SH,20240724,7615.8296,7626.0034,7667.9724,7593.8709,7641.0976,-25.268,-0.3307,87232092.0,118875711.1
000010.SH,20240723,7641.0976,7773.0885,7776.2605,7641.0976,7785.7196,-144.622,-1.8575,92339128.0,133107240.7
000010.SH,20240722,7785.7196,7834.5347,7836.1271,7733.973,7839.6381,-53.9185,-0.6878,94951977.0,144591235.2
000010.SH,20240719,7839.6381,7756.8567,7854.5047,7729.4638,7804.1615,35.4766,0.4546,93352113.0,147196990.0
000010.SH,20240718,7804.1615,7731.6404,7809.5183,7708.5638,7762.3978,41.7637,0.538,82430850.0,128740203.6
000010.SH,20240717,7762.3978,7751.6627,7786.5822,7736.9793,7754.9875,7.4103,0.0956,88013543.0,135777518.5
000010.SH,20240716,7754.9875,7701.1562,7759.9074,7690.9513,7722.8876,32.0999,0.4156,77605720.0,118402823.4
000010.SH,20240715,7722.8876,7675.1761,7731.8699,7672.2374,7698.8724,24.0152,0.3119,75708735.0,105629119.3
000010.SH,20240712,7698.8724,7676.0138,7709.448,7671.3014,7683.0131,15.8593,0.2064,87856189.0,123398540.6
000010.SH,20240711,7683.0131,7654.2451,7690.8711,7624.1165,7620.9682,62.0449,0.8141,91645238.0,134407408.0
000010.SH,20240710,7620.9682,7616.7894,7659.4398,7609.1138,7652.4721,-31.5039,-0.4117,86123157.0,124263951.0
000010.SH,20240709,7652.4721,7558.6946,7669.2901,7526.4235,7570.5973,81.8748,1.0815,87706118.0,130524637.9
000010.SH,20240708,7570.5973,7599.1758,7624.5827,7558.8814,7623.414,-52.8167,-0.6928,80512282.0,115109808.4
000010.SH,20240705,7623.414,7654.3452,7670.0847,7554.0236,7659.6711,-36.2571,-0.4734,84126236.0,119731548.8
000010.SH,20240704,7659.6711,7703.9478,7737.4661,7657.1641,7693.3449,-33.6738,-0.4377,71751398.0,100950447.6
000010.SH,20240703,7693.3449,7705.0827,7717.7984,7673.5886,7704.602,-11.2571,-0.1461,71686558.0,104788938.6
