ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399005.SZ,20240826,5239.6021,5238.4395,5257.3475,5216.0931,5234.8491,4.753,0.0908,26270541.0,33517712.8
399005.SZ,20240823,5234.8491,5217.4826,5253.2789,5212.0462,5237.6412,-2.7921,-0.0533,22590409.0,28895988.4
399005.SZ,20240822,5237.6412,5284.7763,5291.3163,5227.2689,5283.4929,-45.8517,-0.8678,28647849.0,36748415.8
399005.SZ,20240821,5283.4929,5252.3812,5333.765,5243.5429,5274.4573,9.0356,0.1713,28169279.0,38383344.9
399005.SZ,20240820,5274.4573,5341.4864,5346.0577,5255.2196,5338.4764,-64.0191,-1.1992,26530078.0,32892015.6
399005.SZ,20240819,5338.4764,5343.7721,5396.8411,5333.0937,5352.2373,-13.7609,-0.2571,25971582.0,32512790.2
399005.SZ,20240816,5352.2373,5371.6283,5388.8914,5345.5356,5368.5766,-16.3393,-0.3044,27894906.0,34300960.9
399005.SZ,20240815,5368.5766,5324.9239,5411.5858,5319.3457,5338.6448,29.9318,0.5607,29622944.0,36389598.5
399005.SZ,20240814,5338.6448,5397.14,5397.14,5338.6448,5402.533,-63.8882,-1.1826,25373173.0,30149865.7
399005.SZ,20240813,5402.533,5385.5018,5409.3929,5353.0528,5387.5342,14.9988,0.2784,25626228.0,31523441.9
399005.SZ,20240812,5387.5342,5394.8117,5419.4721,5375.2324,5399.7398,-12.2056,-0.226,30524892.0,32603158.6
399005.SZ,20240809,5399.7398,5449.8721,5477.4628,5399.7398,5424.1617,-24.4219,-0.4502,34262980.0,38146615.2
399005.SZ,20240808,5424.1617,5396.2894,5465.4966,5365.0233,5416.2847,7.877,0.1454,35531895.0,41143867.4
399005.SZ,20240807,5416.2847,5422.083,5453.2317,5396.5481,5431.2412,-14.9565,-0.2754,36174396.0,37504908.3
399005.SZ,20240806,5431.2412,5449.9828,5474.7321,5380.2117,5380.4035,50.8377,0.9449,42270848.0,47474243.1
399005.SZ,20240805,5380.4035,5436.9077,5541.6561,5380.4035,5503.1428,-122.7393,-2.2303,34158213.0,54220249.5
399005.SZ,20240802,5503.1428,5528.9349,5595.5657,5497.3537,5581.143,-78.0002,-1.3976,29918061.0,41420003.4
399005.SZ,20240801,5581.143,5648.741,5660.0858,5568.4937,5629.5502,-48.4072,-0.8599,32995886.0,47245254.8
399005.SZ,20240731,5629.5502,5454.0055,5631.3039,5448.8198,5465.4922,164.058,3.0017,43454660.0,57068379.2
399005.SZ,20240730,5465.4922,5486.237,5486.237,5425.9182,5503.083,-37.5908,-0.6831,27802088.0,37557692.3
399005.SZ,20240729,5503.083,5545.3423,5552.6164,5495.8051,5548.8243,-45.7413,-0.8243,24361347.0,37636588.4
399005.SZ,20240726,5548.8243,5487.8711,5559.3589,5485.0374,5481.5997,67.2246,1.2264,27646637.0,42829020.3
