ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000852.CSI,20150515,11217.93,11165.97,11316.89,11000.63,11211.1,6.83,0.0609,160382705.0,322585154.986
000852.CSI,20150514,11211.1,11158.42,11272.84,11093.57,11137.3,73.8,0.6626,169815190.0,342326521.797
000852.CSI,20150513,11137.3,10969.33,11259.27,10834.98,11051.43,85.87,0.777,176980538.0,360059491.17
000852.CSI,20150512,11051.43,10871.48,11051.87,10782.2,10771.62,279.81,2.5977,178092914.0,361872954.243
000852.CSI,20150511,10771.62,10424.97,10772.06,10386.63,10274.38,497.24,4.8396,160409623.0,323495426.309
000852.CSI,20150508,10274.38,9913.854,10274.58,9913.854,9806.508,467.872,4.771,127807094.0,247446737.136
000852.CSI,20150507,9806.508,9934.935,9989.861,9789.184,9973.991,-167.483,-1.6792,113428136.0,207141706.186
000852.CSI,20150506,9973.991,10032.05,10264.64,9913.609,10007.27,-33.279,-0.3325,133198975.0,250173174.397
000852.CSI,20150505,10007.27,10273.57,10286.56,9950.573,10270.13,-262.86,-2.5595,148578165.0,262227610.498
000852.CSI,20150504,10270.13,10206.21,10281.71,10085.33,10180.49,89.64,0.8805,132156751.0,243014729.745
000852.CSI,20150430,10180.49,10156.36,10298.49,10155.19,10107.4,73.09,0.7231,140745122.0,266207266.483
000852.CSI,20150429,10107.4,9817.446,10111.91,9792.637,9847.893,259.507,2.6352,134623435.0,246011968.298
000852.CSI,20150428,9847.893,10184.26,10184.26,9744.378,10174.9,-327.007,-3.2139,169266059.0,299667942.341
000852.CSI,20150427,10174.9,10202.03,10297.1,10093.25,10123.91,50.99,0.5037,172488850.0,318848099.692
000852.CSI,20150424,10123.91,9990.335,10153.96,9909.479,10105.27,18.64,0.1845,174194274.0,316622096.669
000852.CSI,20150423,10105.27,10035.43,10157.04,9977.372,9995.262,110.008,1.1006,188557277.0,336026494.802
000852.CSI,20150422,9995.262,9798.163,9995.598,9798.163,9716.349,278.913,2.8706,180965492.0,316672686.408
000852.CSI,20150421,9716.349,9364.308,9716.608,9362.868,9353.612,362.737,3.878,151818225.0,263163939.805
000852.CSI,20150420,9353.612,9541.259,9591.215,9317.303,9567.695,-214.083,-2.2376,175439660.0,296143105.879
000852.CSI,20150417,9567.695,9612.733,9663.935,9526.087,9541.766,25.929,0.2717,161823147.0,280570398.123
000852.CSI,20150416,9541.766,9319.961,9654.155,9209.41,9441.192,100.574,1.0653,135211844.0,238514946.989
000852.CSI,20150415,9441.192,9800.64,9800.64,9434.623,9830.062,-388.87,-3.9559,157667548.0,277035088.167
000852.CSI,20150414,9830.062,9830.531,9926.394,9741.701,9813.596,16.466,0.1678,175412073.0,314316250.643
000852.CSI,20150413,9813.596,9652.531,9838.876,9616.395,9600.401,213.195,2.2207,171137997.0,310734138.989
000852.CSI,20150410,9600.401,9325.424,9621.503,9276.954,9369.657,230.744,2.4627,147301783.0,270626595.988
000852.CSI,20150409,9369.657,9446.683,9446.683,8988.708,9455.59,-85.933,-0.9088,174096974.0,305710236.04
000852.CSI,20150408,9455.59,9625.208,9628.226,9264.544,9600.722,-145.132,-1.5117,187491504.0,336182262.24
000852.CSI,20150407,9600.722,9457.735,9600.831,9457.653,9419.201,181.521,1.9271,180856036.0,324407852.277
000852.CSI,20150403,9419.201,9204.84,9422.843,9159.571,9238.053,181.148,1.9609,176106329.0,311259210.885
000852.CSI,20150402,9238.053,9061.497,9238.352,9061.497,9008.201,229.852,2.5516,178430172.0,305776902.595
000852.CSI,20150401,9008.201,8785.125,9015.015,8782.129,8780.739,227.462,2.5905,149793978.0,261377330.103
000852.CSI,20150331,8780.739,8734.951,8859.415,8676.628,8719.22,61.519,0.7056,156648225.0,262456157.937
000852.CSI,20150330,8719.22,8721.209,8758.753,8663.827,8710.291,8.929,0.1025,156089903.0,258115078.683
000852.CSI,20150327,8710.291,8586.403,8715.285,8578.526,8611.864,98.427,1.1429,131913472.0,221507666.425
000852.CSI,20150326,8611.864,8730.364,8786.737,8523.364,8784.909,-173.045,-1.9698,172182140.0,298915620.846
000852.CSI,20150325,8784.909,8662.766,8834.245,8604.238,8655.38,129.529,1.4965,182163305.0,308615337.508
000852.CSI,20150324,8655.38,8593.783,8665.249,8319.356,8560.441,94.939,1.109,211379800.0,339224797.353
000852.CSI,20150323,8560.441,8360.92,8560.765,8360.92,8318.829,241.612,2.9044,178375850.0,279995707.026
000852.CSI,20150320,8318.829,8216.303,8336.827,8213.724,8216.624,102.205,1.2439,153792550.0,239794078.497
000852.CSI,20150319,8216.624,8149.478,8217.376,8103.787,8150.951,65.673,0.8057,168089569.0,247708825.152
000852.CSI,20150318,8150.951,7992.921,8150.963,7968.122,7993.243,157.708,1.973,164707604.0,248036412.145
000852.CSI,20150317,7993.243,7946.126,8031.466,7896.748,7903.363,89.88,1.1372,171200489.0,255291720.086
000852.CSI,20150316,7903.363,7707.401,7903.623,7706.947,7649.345,254.018,3.3208,144325531.0,220881209.851
000852.CSI,20150313,7649.345,7530.209,7649.757,7530.209,7514.445,134.9,1.7952,97658951.0,148486392.608
000852.CSI,20150312,7514.445,7566.489,7592.534,7455.081,7566.312,-51.867,-0.6855,110024337.0,161712746.497
000852.CSI,20150311,7566.312,7573.262,7573.745,7538.486,7566.481,-0.169,-0.0022,109467191.0,163381562.011
000852.CSI,20150310,7566.481,7460.611,7577.374,7458.682,7450.816,115.665,1.5524,109149118.0,163534793.677
000852.CSI,20150309,7450.816,7314.931,7450.816,7284.734,7338.404,112.412,1.5318,100410773.0,143537467.817
000852.CSI,20150306,7338.404,7454.922,7467.427,7330.45,7450.906,-112.502,-1.5099,114322835.0,163047185.987
000852.CSI,20150305,7450.906,7417.531,7451.24,7375.111,7411.034,39.872,0.538,125691364.0,184251805.42
000852.CSI,20150304,7411.034,7277.542,7411.267,7277.542,7282.108,128.926,1.7704,120372109.0,172199592.131
000852.CSI,20150303,7282.108,7306.437,7386.821,7272.462,7317.677,-35.569,-0.4861,141157279.0,199684836.849
000852.CSI,20150302,7317.677,7187.527,7317.873,7172.745,7141.888,175.789,2.4614,130745604.0,190683606.647
000852.CSI,20150227,7141.888,7045.792,7142.26,7042.144,7045.268,96.62,1.3714,100041339.0,140801276.195
000852.CSI,20150226,7045.268,7001.178,7045.527,6967.939,7004.665,40.603,0.5797,90364869.0,125678392.132
000852.CSI,20150225,7004.665,7037.96,7060.066,6984.165,7020.053,-15.388,-0.2192,84447188.0,121332743.13
000852.CSI,20150217,7020.053,6987.392,7020.201,6948.218,6965.301,54.752,0.7861,82909248.0,120361647.331
000852.CSI,20150216,6965.301,6831.259,6965.463,6831.085,6815.848,149.453,2.1927,87515654.0,130187604.341
000852.CSI,20150213,6815.848,6732.302,6824.594,6731.719,6703.815,112.033,1.6712,87051568.0,125125654.204
000852.CSI,20150212,6703.815,6652.564,6707.653,6652.473,6645.51,58.305,0.8774,67541873.0,98892332.77
000852.CSI,20150211,6645.51,6563.873,6645.978,6563.734,6555.818,89.692,1.3681,60970632.0,89656836.641
000852.CSI,20150210,6555.818,6468.519,6556.067,6458.43,6474.817,81.001,1.251,51108336.0,70776930.508
000852.CSI,20150209,6474.817,6508.376,6541.719,6458.177,6526.949,-52.132,-0.7987,57602370.0,81516379.644
000852.CSI,20150206,6526.949,6637.537,6658.952,6503.594,6654.082,-127.133,-1.9106,79270860.0,106945564.103
000852.CSI,20150205,6654.082,6685.76,6729.51,6649.217,6653.338,0.744,0.0112,90406834.0,126547745.568
000852.CSI,20150204,6653.338,6665.879,6692.315,6645.191,6654.549,-1.211,-0.0182,79437504.0,109847874.606
000852.CSI,20150203,6654.549,6547.753,6661.892,6547.621,6535.903,118.646,1.8153,76220862.0,105804997.944
000852.CSI,20150202,6535.903,6485.155,6567.402,6449.567,6546.597,-10.694,-0.1634,68269625.0,87187402.675
000852.CSI,20150130,6546.597,6629.278,6655.605,6546.138,6625.005,-78.408,-1.1835,82176298.0,102158988.72
000852.CSI,20150129,6625.005,6620.23,6661.728,6594.445,6666.264,-41.259,-0.6189,76681462.0,98415711.887
000852.CSI,20150128,6666.264,6680.081,6725.665,6649.187,6693.806,-27.542,-0.4115,93994268.0,125692219.574
000852.CSI,20150127,6693.806,6652.205,6694.818,6582.438,6642.612,51.194,0.7707,109774966.0,142896419.488
000852.CSI,20150126,6642.612,6508.733,6642.719,6508.087,6502.067,140.545,2.1615,98178613.0,125562912.754
000852.CSI,20150123,6502.067,6576.98,6577.377,6481.212,6568.636,-66.569,-1.0134,104475111.0,132046363.308
000852.CSI,20150122,6568.636,6472.166,6569.902,6466.646,6465.733,102.903,1.5915,103663936.0,135752101.664
000852.CSI,20150121,6465.733,6358.017,6465.832,6357.682,6336.631,129.102,2.0374,103809604.0,139532996.524
