ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399673.SZ,20240826,1499.0336,1505.4653,1513.814,1495.1649,1500.7885,-1.7549,-0.1169,10282026.0,29760150.9
399673.SZ,20240823,1500.7885,1492.717,1508.7905,1491.8185,1499.9384,0.8501,0.0567,7862408.0,24358979.8
399673.SZ,20240822,1499.9384,1511.34,1514.7164,1496.9999,1509.5329,-9.5945,-0.6356,9633337.0,27190420.5
399673.SZ,20240821,1509.5329,1509.3709,1522.8322,1505.5246,1517.0663,-7.5334,-0.4966,8028288.0,23432235.1
399673.SZ,20240820,1517.0663,1536.549,1538.3764,1514.8552,1535.2867,-18.2204,-1.1868,7722962.0,22780522.3
399673.SZ,20240819,1535.2867,1533.1332,1553.1374,1533.0117,1534.0309,1.2558,0.0819,8155695.0,25113651.3
399673.SZ,20240816,1534.0309,1533.9345,1544.904,1528.5516,1531.168,2.8629,0.187,7724520.0,25556495.7
399673.SZ,20240815,1531.168,1519.2969,1545.9318,1519.2969,1522.8558,8.3122,0.5458,9629283.0,25469952.4
399673.SZ,20240814,1522.8558,1543.4706,1544.4628,1522.8558,1543.7245,-20.8687,-1.3518,7781054.0,23266348.1
399673.SZ,20240813,1543.7245,1527.175,1543.7245,1522.2708,1526.8353,16.8892,1.1062,7786085.0,25869900.9
399673.SZ,20240812,1526.8353,1532.534,1538.0445,1523.4135,1530.6698,-3.8345,-0.2505,7523499.0,23126540.5
399673.SZ,20240809,1530.6698,1557.3317,1564.7957,1530.6698,1545.0741,-14.4043,-0.9323,8007725.0,25687912.4
399673.SZ,20240808,1545.0741,1545.6653,1561.6063,1532.7226,1556.2899,-11.2158,-0.7207,8707129.0,25918168.6
399673.SZ,20240807,1556.2899,1559.1932,1571.1754,1554.2201,1563.1632,-6.8733,-0.4397,9144723.0,27705674.7
399673.SZ,20240806,1563.1632,1564.7381,1574.9339,1548.2509,1542.4041,20.7591,1.3459,10907917.0,33768254.2
399673.SZ,20240805,1542.4041,1553.1905,1588.4448,1542.0663,1573.5735,-31.1694,-1.9808,13743308.0,43467941.4
399673.SZ,20240802,1573.5735,1589.305,1607.3926,1571.0167,1607.5213,-33.9478,-2.1118,11744237.0,39442457.9
399673.SZ,20240801,1607.5213,1634.4765,1637.3473,1606.2469,1631.7106,-24.1893,-1.4825,11659978.0,39148567.4
399673.SZ,20240731,1631.7106,1568.4841,1634.9369,1568.4841,1578.2942,53.4164,3.3844,17545601.0,49888185.9
399673.SZ,20240730,1578.2942,1577.5593,1585.296,1569.0525,1584.3025,-6.0083,-0.3792,7349114.0,25899338.8
399673.SZ,20240729,1584.3025,1600.6371,1600.6371,1578.5928,1608.5763,-24.2738,-1.509,8338653.0,32213135.2
399673.SZ,20240726,1608.5763,1599.3255,1620.3892,1596.888,1593.4264,15.1499,0.9508,9580212.0,32560907.2
399673.SZ,20240725,1593.4264,1590.7465,1608.6432,1587.7788,1600.7415,-7.3151,-0.457,10340770.0,36603986.5
399673.SZ,20240724,1600.7415,1612.9569,1633.269,1595.562,1619.3684,-18.6269,-1.1503,10468710.0,33198017.0
399673.SZ,20240723,1619.3684,1666.433,1666.7994,1619.3684,1668.2427,-48.8743,-2.9297,11151873.0,34768729.5
399673.SZ,20240722,1668.2427,1673.3345,1680.5165,1657.7959,1668.1585,0.0842,0.005,11548373.0,37649483.0
399673.SZ,20240719,1668.1585,1650.5113,1673.9668,1650.5113,1662.1521,6.0064,0.3614,11823528.0,40642094.4
399673.SZ,20240718,1662.1521,1621.9155,1663.5038,1620.5668,1638.8881,23.264,1.4195,13466624.0,49309022.6
399673.SZ,20240717,1638.8881,1635.913,1649.9585,1627.4882,1641.1529,-2.2648,-0.138,13776746.0,44175070.7
399673.SZ,20240716,1641.1529,1613.5842,1641.9021,1612.9463,1613.1851,27.9678,1.7337,12986391.0,44618257.9
399673.SZ,20240715,1613.1851,1614.6709,1620.3288,1605.437,1626.2661,-13.081,-0.8044,8778575.0,29481317.6
399673.SZ,20240712,1626.2661,1622.6619,1636.0035,1613.8967,1627.8682,-1.6021,-0.0984,11637095.0,40328097.1
399673.SZ,20240711,1627.8682,1616.8293,1638.3993,1602.7118,1594.5466,33.3216,2.0897,15631023.0,47682757.8
399673.SZ,20240710,1594.5466,1587.1803,1614.2178,1586.0807,1596.2948,-1.7482,-0.1095,10842571.0,36907964.0
399673.SZ,20240709,1596.2948,1564.2675,1603.9968,1556.9819,1566.893,29.4018,1.8764,13485579.0,42411110.0
399673.SZ,20240708,1566.893,1588.8747,1590.4169,1562.8164,1593.0339,-26.1409,-1.641,9333888.0,29475809.1
399673.SZ,20240705,1593.0339,1590.6763,1600.13,1572.4478,1588.3357,4.6982,0.2958,9580757.0,30542920.6
399673.SZ,20240704,1588.3357,1606.5166,1616.4053,1588.3357,1599.1024,-10.7667,-0.6733,9225758.0,29469562.4
399673.SZ,20240703,1599.1024,1601.0472,1614.8921,1585.4895,1600.2423,-1.1399,-0.0712,10246141.0,30699507.5
399673.SZ,20240702,1600.2423,1607.4806,1618.3108,1595.66,1613.8289,-13.5866,-0.8419,10769478.0,34136626.5
399673.SZ,20240701,1613.8289,1612.2608,1621.5679,1581.7935,1616.8392,-3.0103,-0.1862,11104284.0,37859941.4
399673.SZ,20240628,1616.8392,1631.3302,1656.3659,1613.743,1637.86,-21.0208,-1.2834,13468484.0,38506309.1
399673.SZ,20240627,1637.86,1652.4653,1653.9403,1637.0696,1664.2333,-26.3733,-1.5847,9907915.0,31102606.2
399673.SZ,20240626,1664.2333,1638.0121,1667.5335,1634.1315,1637.167,27.0663,1.6532,11489477.0,36230364.1
399673.SZ,20240625,1637.167,1662.3536,1666.2912,1628.543,1670.9122,-33.7452,-2.0196,10340441.0,35501032.7
399673.SZ,20240624,1670.9122,1678.7987,1691.4759,1668.4554,1688.201,-17.2888,-1.0241,9941914.0,33714394.5
399673.SZ,20240621,1688.201,1691.872,1697.7964,1674.2414,1697.9877,-9.7867,-0.5764,9099301.0,32452616.5
399673.SZ,20240620,1697.9877,1725.269,1731.2478,1696.6991,1725.8684,-27.8807,-1.6155,10504966.0,35061967.8
399673.SZ,20240619,1725.8684,1753.5904,1753.5904,1725.5133,1746.9382,-21.0698,-1.2061,9984533.0,36043527.8
399673.SZ,20240618,1746.9382,1733.4433,1755.6552,1733.4433,1736.1341,10.8041,0.6223,11369855.0,43039664.5
399673.SZ,20240617,1736.1341,1708.5348,1742.1604,1708.4662,1718.4141,17.72,1.0312,13174553.0,48428148.0
399673.SZ,20240614,1718.4141,1700.4027,1720.4294,1680.9425,1699.9541,18.46,1.0859,13154523.0,58836924.9
399673.SZ,20240613,1699.9541,1703.9293,1721.5513,1695.3554,1695.149,4.8051,0.2835,9176952.0,37487165.2
399673.SZ,20240612,1695.149,1696.4306,1705.2713,1693.2243,1705.1411,-9.9921,-0.586,8650284.0,31699887.9
