ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399295.SZ,20240826,3373.9335,3394.407,3404.5269,3361.7403,3385.8911,-11.9576,-0.3532,7719110.0,21054889.1
399295.SZ,20240823,3385.8911,3362.733,3400.222,3362.733,3380.2422,5.6489,0.1671,6177815.0,17298578.5
399295.SZ,20240822,3380.2422,3407.3688,3417.3025,3372.9621,3409.567,-29.3248,-0.8601,7398246.0,19627318.6
399295.SZ,20240821,3409.567,3419.7075,3440.5451,3407.1429,3430.6907,-21.1237,-0.6157,7542755.0,17931642.2
399295.SZ,20240820,3430.6907,3468.6248,3472.1059,3424.651,3471.0006,-40.3099,-1.1613,6928870.0,16085382.6
399295.SZ,20240819,3471.0006,3469.2291,3514.2282,3468.9054,3474.891,-3.8904,-0.112,5416863.0,16222043.3
399295.SZ,20240816,3474.891,3480.3982,3493.585,3464.345,3483.1978,-8.3068,-0.2385,5303765.0,16977921.2
399295.SZ,20240815,3483.1978,3453.8273,3522.0446,3452.3443,3462.1313,21.0665,0.6085,6164973.0,17314708.4
399295.SZ,20240814,3462.1313,3511.4163,3511.4163,3461.925,3518.1572,-56.0259,-1.5925,4400910.0,13840441.0
399295.SZ,20240813,3518.1572,3504.954,3518.1572,3477.2285,3509.002,9.1552,0.2609,4734899.0,16884226.6
399295.SZ,20240812,3509.002,3515.986,3529.187,3501.045,3519.5333,-10.5313,-0.2992,4658200.0,15405919.0
399295.SZ,20240809,3519.5333,3570.1825,3588.2069,3519.0461,3556.4143,-36.881,-1.037,4749096.0,16801908.4
399295.SZ,20240808,3556.4143,3549.1433,3590.375,3525.733,3560.6727,-4.2584,-0.1196,5501630.0,17149967.1
399295.SZ,20240807,3560.6727,3558.9819,3583.5129,3547.0459,3563.2507,-2.578,-0.0723,5987122.0,18356697.8
399295.SZ,20240806,3563.2507,3566.7776,3596.2132,3535.8034,3534.997,28.2537,0.7993,7095891.0,22193873.1
399295.SZ,20240805,3534.997,3561.3065,3631.7948,3534.8838,3586.4462,-51.4492,-1.4345,8661730.0,27606378.0
399295.SZ,20240802,3586.4462,3588.1294,3646.4761,3580.3642,3610.1492,-23.703,-0.6566,7197716.0,24905134.9
399295.SZ,20240801,3610.1492,3655.5739,3666.5234,3603.3808,3658.1701,-48.0209,-1.3127,7314282.0,26511456.7
399295.SZ,20240731,3658.1701,3517.4048,3664.3625,3517.4048,3532.1096,126.0605,3.569,9579308.0,31716362.3
399295.SZ,20240730,3532.1096,3537.0397,3545.8056,3511.542,3547.7849,-15.6753,-0.4418,5097545.0,19380084.4
399295.SZ,20240729,3547.7849,3614.3848,3614.3848,3546.8454,3626.8003,-79.0154,-2.1787,5795492.0,22791991.7
399295.SZ,20240726,3626.8003,3605.2709,3644.9076,3598.5942,3596.4007,30.3996,0.8453,6258803.0,22618678.1
399295.SZ,20240725,3596.4007,3592.6094,3619.4447,3579.2098,3606.3136,-9.9129,-0.2749,6361368.0,24198431.9
399295.SZ,20240724,3606.3136,3654.3867,3674.6245,3594.7239,3665.7232,-59.4096,-1.6207,6671600.0,22489522.8
399295.SZ,20240723,3665.7232,3773.9677,3773.9677,3665.7081,3783.7693,-118.0461,-3.1198,6755453.0,21927285.4
399295.SZ,20240722,3783.7693,3793.4998,3803.2819,3760.9171,3789.7314,-5.9621,-0.1573,7209479.0,24151968.9
399295.SZ,20240719,3789.7314,3749.2904,3801.5236,3746.7148,3768.9759,20.7555,0.5507,8193085.0,29160412.6
399295.SZ,20240718,3768.9759,3695.0281,3773.407,3686.6691,3721.3993,47.5766,1.2785,9365760.0,35036596.2
399295.SZ,20240717,3721.3993,3699.8235,3741.1,3684.4241,3709.2757,12.1236,0.3268,9800709.0,30513069.0
399295.SZ,20240716,3709.2757,3659.0358,3712.9647,3659.0358,3665.103,44.1727,1.2052,8990340.0,29611400.0
399295.SZ,20240715,3665.103,3676.7531,3686.1783,3654.6614,3691.0968,-25.9938,-0.7042,6691531.0,20683374.0
399295.SZ,20240712,3691.0968,3699.3977,3709.0389,3665.0448,3698.7874,-7.6906,-0.2079,7756541.0,26067465.3
399295.SZ,20240711,3698.7874,3663.7365,3721.6766,3638.7751,3617.4635,81.3239,2.2481,10509853.0,31349853.5
399295.SZ,20240710,3617.4635,3600.7542,3650.3628,3599.9905,3618.3008,-0.8373,-0.0231,7544332.0,24200729.6
399295.SZ,20240709,3618.3008,3573.0674,3634.1647,3545.3692,3576.5823,41.7185,1.1664,8735169.0,27004743.5
399295.SZ,20240708,3576.5823,3628.2096,3628.2096,3568.9261,3634.9204,-58.3381,-1.6049,6237100.0,19983012.0
399295.SZ,20240705,3634.9204,3621.7354,3650.464,3586.0412,3619.0427,15.8777,0.4387,7250822.0,21992344.5
399295.SZ,20240704,3619.0427,3648.4792,3666.9098,3617.1237,3637.0984,-18.0557,-0.4964,6310626.0,20459044.1
399295.SZ,20240703,3637.0984,3650.1554,3670.2445,3616.8685,3652.32,-15.2216,-0.4168,6180435.0,20162115.0
399295.SZ,20240702,3652.32,3675.8496,3691.1791,3642.8982,3687.4308,-35.1108,-0.9522,6938756.0,23304591.9
399295.SZ,20240701,3687.4308,3710.2025,3722.5843,3628.7523,3721.6315,-34.2007,-0.919,6875042.0,24927108.7
399295.SZ,20240628,3721.6315,3741.9165,3790.2741,3712.8754,3761.9067,-40.2752,-1.0706,7531484.0,24812871.5
399295.SZ,20240627,3761.9067,3787.8594,3794.5312,3758.1561,3805.6353,-43.7286,-1.149,6876489.0,21446895.2
399295.SZ,20240626,3805.6353,3741.4848,3811.3547,3730.8884,3748.0961,57.5392,1.5352,7818434.0,23823665.3
399295.SZ,20240625,3748.0961,3791.707,3799.5925,3729.3996,3800.0843,-51.9882,-1.3681,6887184.0,24148696.9
399295.SZ,20240624,3800.0843,3815.924,3844.9956,3796.1385,3837.3327,-37.2484,-0.9707,7021845.0,23748269.6
399295.SZ,20240621,3837.3327,3844.1119,3855.1075,3803.7078,3853.19,-15.8573,-0.4115,6389163.0,22918392.7
399295.SZ,20240620,3853.19,3888.3221,3910.1963,3849.847,3894.4881,-41.2981,-1.0604,6971317.0,23434180.3
399295.SZ,20240619,3894.4881,3949.0706,3951.1403,3894.4881,3945.4015,-50.9134,-1.2904,6508541.0,22325829.7
399295.SZ,20240618,3945.4015,3939.65,3961.0068,3928.587,3940.9465,4.455,0.113,7377935.0,27475397.1
399295.SZ,20240617,3940.9465,3889.6165,3950.829,3888.0485,3918.1822,22.7643,0.581,9051215.0,31793455.1
399295.SZ,20240614,3918.1822,3910.8669,3918.1822,3847.6901,3909.1924,8.9898,0.23,11016011.0,38558220.0
399295.SZ,20240613,3909.1924,3936.922,3949.3379,3903.7143,3919.0477,-9.8553,-0.2515,8173936.0,25671139.8
399295.SZ,20240612,3919.0477,3937.3835,3953.6216,3919.0477,3952.8831,-33.8354,-0.856,6593781.0,21084569.6
399295.SZ,20240611,3952.8831,3912.1634,3959.6003,3895.4296,3941.1511,11.732,0.2977,6174353.0,24268129.7
399295.SZ,20240607,3941.1511,3999.0406,4011.9546,3907.8261,4012.3257,-71.1746,-1.7739,5854180.0,26788919.8
399295.SZ,20240606,4012.3257,4049.9303,4056.3084,4000.8821,4043.3468,-31.0211,-0.7672,7039938.0,23165873.6
399295.SZ,20240605,4043.3468,4038.5623,4083.9249,4035.8828,4043.2569,0.0899,0.0022,5896102.0,19219942.1
399295.SZ,20240604,4043.2569,3995.1326,4054.3415,3991.6283,4005.4625,37.7944,0.9436,6554005.0,22407566.5
399295.SZ,20240603,4005.4625,4003.4686,4036.4476,3981.7605,3997.6625,7.8,0.1951,7086108.0,25613970.7
399295.SZ,20240531,3997.6625,4028.1996,4054.1827,3997.6625,4021.8426,-24.1801,-0.6012,5773193.0,18911096.0
399295.SZ,20240530,4021.8426,4018.0648,4044.0169,4006.4091,4020.9128,0.9298,0.0231,5078543.0,17251985.6
399295.SZ,20240529,4020.9128,4004.1863,4049.6993,4004.1863,4010.3975,10.5153,0.2622,4935889.0,18228403.2
399295.SZ,20240528,4010.3975,4049.4536,4049.4536,4006.0584,4059.3305,-48.933,-1.2054,5189509.0,18687670.4
399295.SZ,20240527,4059.3305,4046.7508,4064.1854,4009.8946,4038.6712,20.6593,0.5115,6286425.0,20544124.6
399295.SZ,20240524,4038.6712,4088.4486,4111.2444,4038.2499,4104.2348,-65.5636,-1.5975,5907738.0,21065090.6
399295.SZ,20240523,4104.2348,4125.0933,4137.3701,4093.7952,4136.7371,-32.5023,-0.7857,6835818.0,22938752.5
399295.SZ,20240522,4136.7371,4122.1719,4146.6677,4096.4168,4117.7141,19.023,0.462,6669060.0,26173452.3
399295.SZ,20240521,4117.7141,4143.3756,4143.3756,4104.8099,4149.8187,-32.1046,-0.7736,5939178.0,18614631.3
399295.SZ,20240520,4149.8187,4150.3362,4178.3342,4128.5571,4134.4258,15.3929,0.3723,7855195.0,26680187.8
399295.SZ,20240517,4134.4258,4106.4248,4137.6577,4084.5559,4105.9109,28.5149,0.6945,7481709.0,27942991.9
399295.SZ,20240516,4105.9109,4112.7976,4136.2839,4092.9196,4107.3366,-1.4257,-0.0347,6587712.0,22920723.6
399295.SZ,20240515,4107.3366,4142.8632,4164.6105,4106.2045,4145.5621,-38.2255,-0.9221,6461661.0,22244592.4
399295.SZ,20240514,4145.5621,4137.5525,4161.5712,4133.515,4135.2699,10.2922,0.2489,7636833.0,24155182.4
399295.SZ,20240513,4135.2699,4110.0637,4158.1871,4094.9136,4157.603,-22.3331,-0.5372,7924820.0,29526571.2
399295.SZ,20240510,4157.603,4187.3303,4198.5339,4144.1116,4186.2547,-28.6517,-0.6844,8412295.0,28377638.4
399295.SZ,20240509,4186.2547,4135.0987,4190.973,4133.3202,4127.3351,58.9196,1.4275,9240884.0,31519880.6
399295.SZ,20240508,4127.3351,4171.3552,4171.5141,4122.1775,4179.8945,-52.5594,-1.2574,9073887.0,27383903.6
399295.SZ,20240507,4179.8945,4176.7795,4193.0806,4161.7647,4176.1377,3.7568,0.09,8107967.0,28743949.8
399295.SZ,20240506,4176.1377,4153.6814,4191.5879,4152.2032,4084.1029,92.0348,2.2535,9886584.0,37164504.6
399295.SZ,20240430,4084.1029,4099.8594,4119.7672,4082.6509,4127.4637,-43.3608,-1.0505,8183349.0,29259077.6
399295.SZ,20240429,4127.4637,4021.3051,4167.7547,4020.483,3995.4743,131.9894,3.3035,11764912.0,46668884.7
399295.SZ,20240426,3995.4743,3889.6234,3999.4383,3889.6234,3899.8687,95.6056,2.4515,11180216.0,38491358.3
399295.SZ,20240425,3899.8687,3882.5274,3931.2453,3868.5847,3906.2941,-6.4254,-0.1645,9284867.0,29879623.2
399295.SZ,20240424,3906.2941,3892.3533,3912.8496,3874.2761,3891.1675,15.1266,0.3887,8785114.0,30078573.6
399295.SZ,20240423,3891.1675,3873.1774,3902.3087,3857.6269,3871.8211,19.3464,0.4997,8472839.0,28303461.7
399295.SZ,20240422,3871.8211,3837.9647,3902.8615,3833.5535,3845.667,26.1541,0.6801,8134036.0,26392400.2
399295.SZ,20240419,3845.667,3869.1592,3875.7142,3816.797,3898.3058,-52.6388,-1.3503,8737465.0,30177801.8
399295.SZ,20240418,3898.3058,3895.0903,3943.0735,3863.9156,3912.4417,-14.1359,-0.3613,9357607.0,31460410.6
399295.SZ,20240417,3912.4417,3849.7185,3914.8029,3849.7185,3847.0706,65.3711,1.6992,8630061.0,30642688.7
399295.SZ,20240416,3847.0706,3866.1274,3893.5173,3847.0706,3902.2732,-55.2026,-1.4146,9121538.0,32393284.8
399295.SZ,20240415,3902.2732,3842.82,3922.5145,3841.5918,3822.4976,79.7756,2.087,8312921.0,31269209.2
399295.SZ,20240412,3822.4976,3851.9972,3877.8766,3817.9746,3863.3053,-40.8077,-1.0563,7359925.0,27277308.1
399295.SZ,20240411,3863.3053,3851.175,3894.8234,3850.3565,3884.7154,-21.4101,-0.5511,6759351.0,25664187.4
399295.SZ,20240410,3884.7154,3939.4935,3942.2939,3870.4142,3960.0062,-75.2908,-1.9013,6727286.0,24781721.5
399295.SZ,20240409,3960.0062,3928.8251,3960.0267,3914.0116,3924.4665,35.5397,0.9056,7024860.0,25702653.5
399295.SZ,20240408,3924.4665,4009.4584,4009.4584,3924.4665,4010.3909,-85.9244,-2.1425,7409855.0,27426434.9
399295.SZ,20240403,4010.3909,4016.2728,4035.6479,4000.6669,4030.1676,-19.7767,-0.4907,7879177.0,29196281.2
399295.SZ,20240402,4030.1676,4053.2067,4053.2067,4010.6883,4058.1088,-27.9412,-0.6885,7777033.0,28761949.9
399295.SZ,20240401,4058.1088,3990.1989,4065.6992,3990.1989,3961.8899,96.2189,2.4286,8544746.0,31542458.1
399295.SZ,20240329,3961.8899,3943.1428,3966.7648,3924.6841,3931.1875,30.7024,0.781,6793298.0,23594807.2
399295.SZ,20240328,3931.1875,3908.883,3976.7736,3887.8288,3910.4874,20.7001,0.5293,7926645.0,29064365.1
399295.SZ,20240327,3910.4874,4004.3015,4005.9661,3910.4874,4004.7189,-94.2315,-2.353,7630177.0,27485505.5
399295.SZ,20240326,4004.7189,3989.6789,4023.7792,3975.21,3986.5404,18.1785,0.456,7944008.0,31845495.7
399295.SZ,20240325,3986.5404,4049.9876,4064.6028,3985.5394,4053.3704,-66.83,-1.6488,8018576.0,28298019.2
399295.SZ,20240322,4053.3704,4099.59,4105.6912,4029.0606,4104.8401,-51.4697,-1.2539,9075315.0,31672426.9
399295.SZ,20240321,4104.8401,4138.1634,4155.9366,4104.8401,4123.2638,-18.4237,-0.4468,9661739.0,34885891.6
399295.SZ,20240320,4123.2638,4100.4046,4136.2599,4100.4046,4116.5778,6.686,0.1624,7817620.0,30085653.2
399295.SZ,20240319,4116.5778,4130.3536,4151.5291,4116.4906,4136.019,-19.4412,-0.47,9626159.0,35214599.1
399295.SZ,20240318,4136.019,4096.2685,4137.2888,4075.2046,4059.272,76.747,1.8907,10382188.0,39871377.0
399295.SZ,20240315,4059.272,4063.4105,4070.2016,4000.8207,4072.4424,-13.1704,-0.3234,8714191.0,33733509.3
399295.SZ,20240314,4072.4424,4125.275,4145.4723,4051.1135,4115.0485,-42.6061,-1.0354,8561988.0,33366882.0
399295.SZ,20240313,4115.0485,4144.1886,4146.8503,4099.281,4143.9977,-28.9492,-0.6986,9948061.0,36338557.3
399295.SZ,20240312,4143.9977,4122.9004,4152.8395,4100.963,4110.1509,33.8468,0.8235,10572814.0,44346202.3
399295.SZ,20240311,4110.1509,3968.1833,4113.0604,3954.1896,3941.1951,168.9558,4.2869,10337485.0,45977838.1
399295.SZ,20240308,3941.1951,3935.5576,3960.4872,3906.6051,3936.5705,4.6246,0.1175,7389613.0,22968849.4
399295.SZ,20240307,3936.5705,3998.9896,4015.5367,3931.0616,4002.1567,-65.5862,-1.6388,7567299.0,23165378.4
399295.SZ,20240306,4002.1567,3998.9052,4045.0346,3971.4362,4017.2661,-15.1094,-0.3761,7724818.0,24313675.4
399295.SZ,20240305,4017.2661,3960.6381,4028.1002,3950.7228,3988.9755,28.2906,0.7092,9179660.0,30491353.7
399295.SZ,20240304,3988.9755,3970.4782,4014.7993,3960.8734,3971.4492,17.5263,0.4413,8542557.0,28377853.8
399295.SZ,20240301,3971.4492,3954.7116,3977.7463,3920.3581,3949.9933,21.4559,0.5432,8638481.0,28641348.4
399295.SZ,20240229,3949.9933,3824.02,3958.4615,3824.02,3850.8072,99.1861,2.5757,9030306.0,31481570.9
399295.SZ,20240228,3850.8072,3940.904,3990.624,3850.8072,3931.0289,-80.2217,-2.0407,11842021.0,37923196.3
399295.SZ,20240227,3931.0289,3843.6895,3931.0289,3839.8569,3864.6299,66.399,1.7181,8798917.0,28091113.8
399295.SZ,20240226,3864.6299,3883.0085,3896.2568,3828.2859,3877.2351,-12.6052,-0.3251,8217233.0,26966390.0
399295.SZ,20240223,3877.2351,3901.6976,3901.9466,3840.2233,3895.1466,-17.9115,-0.4598,7525392.0,24042644.2
399295.SZ,20240222,3895.1466,3897.5054,3910.7613,3871.5602,3905.2828,-10.1362,-0.2596,6409149.0,20686947.5
399295.SZ,20240221,3905.2828,3864.336,3960.9176,3852.0394,3893.7896,11.4932,0.2952,8660667.0,27057392.2
399295.SZ,20240220,3893.7896,3889.4011,3908.3727,3851.6345,3896.285,-2.4954,-0.064,7196327.0,24697133.2
399295.SZ,20240219,3896.285,3941.9986,3941.9986,3866.6756,3903.0405,-6.7555,-0.1731,10261727.0,28407993.4
399295.SZ,20240208,3903.0405,3890.8008,3981.8205,3876.0024,3880.1818,22.8587,0.5891,12185867.0,34051678.7
399295.SZ,20240207,3880.1818,3775.9099,3880.9839,3756.0331,3785.214,94.9678,2.5089,13315173.0,37027597.2
399295.SZ,20240206,3785.214,3550.5327,3792.625,3550.2707,3587.0467,198.1673,5.5245,12446335.0,35250201.8
399295.SZ,20240205,3587.0467,3472.187,3658.6156,3415.7369,3503.4555,83.5912,2.386,11740832.0,32950700.6
