ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399374.SZ,20240826,2907.0418,2914.2699,2931.4344,2894.106,2905.8929,1.1489,0.0395,13891015.0,24855067.8
399374.SZ,20240823,2905.8929,2900.9213,2924.1218,2893.5164,2905.9661,-0.0732,-0.0025,12558522.0,21074582.5
399374.SZ,20240822,2905.9661,2944.9034,2944.9034,2901.4352,2945.8325,-39.8664,-1.3533,16732474.0,23405817.8
399374.SZ,20240821,2945.8325,2941.0449,2960.5114,2938.0426,2951.3122,-5.4797,-0.1857,19177266.0,23065239.5
399374.SZ,20240820,2951.3122,3003.9628,3007.7219,2942.1891,3001.7022,-50.39,-1.6787,16346371.0,24030223.1
399374.SZ,20240819,3001.7022,2995.3933,3037.0333,2995.0067,3001.8291,-0.1269,-0.0042,16336078.0,24419957.8
399374.SZ,20240816,3001.8291,3018.3672,3030.2417,2997.6983,3010.514,-8.6849,-0.2885,14539022.0,25520710.8
399374.SZ,20240815,3010.514,2986.8419,3041.039,2982.0409,2996.1628,14.3512,0.479,15221606.0,24253262.4
399374.SZ,20240814,2996.1628,3047.7801,3047.9065,2996.1449,3047.42,-51.2572,-1.682,12518937.0,20959229.0
399374.SZ,20240813,3047.42,3048.5497,3051.6984,3017.1371,3045.951,1.469,0.0482,14713894.0,22425131.7
399374.SZ,20240812,3045.951,3047.6647,3061.591,3035.1669,3051.3922,-5.4412,-0.1783,16824694.0,22577625.9
399374.SZ,20240809,3051.3922,3089.6135,3105.5239,3051.3922,3068.9358,-17.5436,-0.5717,24769010.0,27110632.7
399374.SZ,20240808,3068.9358,3051.5164,3094.1542,3034.353,3059.0442,9.8916,0.3234,17287196.0,28632959.5
399374.SZ,20240807,3059.0442,3048.4992,3080.0557,3035.578,3056.7399,2.3043,0.0754,11173895.0,26796492.9
399374.SZ,20240806,3056.7399,3054.4421,3074.473,3023.9434,3018.4201,38.3198,1.2695,13724879.0,32797209.2
399374.SZ,20240805,3018.4201,3061.0008,3121.7308,3018.4201,3092.5629,-74.1428,-2.3975,16103719.0,40217695.1
399374.SZ,20240802,3092.5629,3116.6521,3148.6656,3089.5695,3150.3906,-57.8277,-1.8356,13171557.0,35301224.3
399374.SZ,20240801,3150.3906,3187.3252,3204.3961,3133.1847,3173.8739,-23.4833,-0.7399,14398054.0,37378287.1
399374.SZ,20240731,3173.8739,3056.0874,3174.3699,3045.8472,3060.8257,113.0482,3.6934,18056213.0,42095007.3
399374.SZ,20240730,3060.8257,3065.9166,3072.9529,3033.2565,3077.3227,-16.497,-0.5361,12534160.0,29553542.4
399374.SZ,20240729,3077.3227,3105.6101,3108.1526,3076.065,3104.2792,-26.9565,-0.8684,12108327.0,30277111.5
399374.SZ,20240726,3104.2792,3068.9965,3116.6746,3068.9965,3065.9003,38.3789,1.2518,13904025.0,31183899.7
399374.SZ,20240725,3065.9003,3065.2784,3093.79,3056.5795,3084.798,-18.8977,-0.6126,13496470.0,33340499.7
399374.SZ,20240724,3084.798,3115.8487,3136.0495,3076.27,3127.1769,-42.3789,-1.3552,31639402.0,35073427.7
399374.SZ,20240723,3127.1769,3244.7197,3244.7197,3127.1769,3244.4187,-117.2418,-3.6136,18295905.0,36943248.2
399374.SZ,20240722,3244.4187,3256.1418,3265.2072,3226.8829,3263.6039,-19.1852,-0.5879,16428083.0,37818806.3
399374.SZ,20240719,3263.6039,3244.2946,3283.184,3234.1322,3266.3617,-2.7578,-0.0844,15298723.0,37953938.5
