ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000688.SH,20240826,682.4987,684.7724,688.9155,679.6144,685.7587,-3.26,-0.4754,12151487.0,29261552.668
000688.SH,20240823,685.7587,683.5869,688.3349,676.2346,685.5307,0.228,0.0333,11650937.0,30230586.873
000688.SH,20240822,685.5307,692.1893,695.4842,683.8756,691.6357,-6.105,-0.8827,11841474.0,29952391.727
000688.SH,20240821,691.6357,691.1343,698.5201,689.3758,693.5231,-1.8874,-0.2721,10322703.0,28306709.997
000688.SH,20240820,693.5231,704.1157,705.0079,691.6494,703.3217,-9.7986,-1.3932,12141047.0,30373935.239
000688.SH,20240819,703.3217,705.0385,712.0097,702.9978,705.2244,-1.9027,-0.2698,12825326.0,32339698.29
000688.SH,20240816,705.2244,707.3868,710.992,703.5797,707.5508,-2.3264,-0.3288,13276616.0,32679505.573
000688.SH,20240815,707.5508,699.0944,714.4645,697.8577,700.9303,6.6205,0.9445,14007562.0,34338026.113
000688.SH,20240814,700.9303,711.6634,711.9424,700.8495,710.7468,-9.8165,-1.3812,10526844.0,27637296.732
000688.SH,20240813,710.7468,707.6951,710.8868,702.9133,707.3312,3.4156,0.4829,10647463.0,26518286.876
000688.SH,20240812,707.3312,704.3744,709.2074,702.9488,705.5456,1.7856,0.2531,12002220.0,29970420.188
000688.SH,20240809,705.5456,717.138,719.4299,705.5456,708.9226,-3.377,-0.4764,12895302.0,34508480.652
000688.SH,20240808,708.9226,703.055,716.6017,699.7005,707.5875,1.3351,0.1887,13891261.0,35912736.09
000688.SH,20240807,707.5875,712.7362,716.2555,706.8294,713.8638,-6.2763,-0.8792,12896915.0,33983700.928
000688.SH,20240806,713.8638,714.4886,717.189,705.0205,704.2959,9.5679,1.3585,14715068.0,38786492.78
000688.SH,20240805,704.2959,719.1563,730.2852,704.2633,725.6603,-21.3644,-2.9441,18802540.0,50043039.199
000688.SH,20240802,725.6603,730.6522,742.2321,723.5557,738.8706,-13.2103,-1.7879,16586428.0,45476228.459
000688.SH,20240801,738.8706,745.9636,748.7677,735.5762,743.3737,-4.5031,-0.6058,18294406.0,50371892.748
000688.SH,20240731,743.3737,707.6596,744.0048,707.2044,710.0148,33.3589,4.6983,20586187.0,55888597.607
