Date,农林牧渔(申万),基础化工(申万),钢铁(申万),有色金属(申万),电子(申万),家用电器(申万),食品饮料(申万),纺织服饰(申万),轻工制造(申万),医药生物(申万),公用事业(申万),交通运输(申万),房地产(申万),商贸零售(申万),社会服务(申万),综合(申万),建筑材料(申万),建筑装饰(申万),电力设备(申万),国防军工(申万),计算机(申万),传媒(申万),通信(申万),汽车(申万),机械设备(申万),煤炭(申万),石油石化(申万),环保(申万),美容护理(申万)
2022-01-28,-0.064970255,0.048988614,-0.0845574,0.11491299,-0.0150734335,0.032037664,-0.07359767,-0.02505542,-0.055380385,0.028901655,0.059083957,-0.020928215,0.1605464,-0.004710119,-0.11264801,0.15354708,-0.0068399273,0.08933262,-0.10282612,-0.06979281,0.03597841,-0.16832715,-0.13045596,0.02685171,0.103836164,0.06075922,-0.06676462,-0.050281648,-0.055056263
2022-02-28,0.045910325,0.04028118,-0.064721495,-0.10446566,0.016851347,0.02039953,0.021883368,-0.009602424,-0.04424865,0.06880537,0.009861875,-0.05253857,0.15946193,0.019084606,-0.07273123,0.082282804,-0.00068005547,0.028586108,0.035073448,-0.08810042,0.060336683,-0.14410904,-0.052303594,0.029511426,0.11362274,0.015574995,-0.079064086,-0.08114858,-0.10565674
2022-03-31,-0.0061106607,0.0041455366,-0.08104703,-0.0062159114,0.04636346,0.12735043,0.16578165,-0.058037024,-0.046202537,-0.04470131,-0.014966801,-0.049198326,0.15373652,-0.047137883,-0.095101565,0.14563964,-0.03753237,0.1355952,0.12540345,-0.019955654,0.0996269,-0.13901594,-0.10137023,0.09258118,-0.11275235,-0.14462903,0.036688637,-0.04358084,-0.007776182
2022-04-29,-0.0624793,-0.0021679588,-0.072286576,0.059881516,0.049884174,-0.041239854,-0.014625084,0.005715836,-0.035413142,0.036219593,-0.0013132244,-0.11871843,0.18150727,0.00541744,-0.12871474,0.19885863,0.03265615,0.07522033,0.11741629,0.10731089,0.074858785,-0.0027988963,-0.15150122,-0.036227126,-0.026045948,-0.142575,0.10265221,-0.012695119,0.05209974
2022-05-31,0.021509174,0.009098504,-0.27708685,0.024619322,-0.031114321,0.004085455,0.028026838,-0.04327854,-0.039974954,0.02906869,-0.024154495,-0.0802052,0.20198503,-0.00860652,-0.15901472,0.19542156,0.10750961,0.21937783,0.03387581,-0.046909522,0.08304098,-0.051877107,-0.18335497,-0.09866193,0.034815475,-0.16801491,0.061822098,0.0046918727,0.054557342
2022-06-30,-0.017874192,0.022366736,-0.10070458,-0.015863452,0.010654453,0.014625713,-0.1653677,0.02856939,0.001114443,0.000759501,0.06876074,-0.12762961,0.2598159,-0.07143262,-0.123980105,-0.013757024,-0.0006271228,0.0874477,-0.017965429,0.009763315,0.11604276,-0.03562891,-0.03206503,-0.22980097,0.0818383,-0.13389818,-0.12555867,0.09971137,0.06013156
2022-07-29,-0.100119695,0.049643595,-0.120158374,0.04369737,0.010998163,0.008394089,-0.06509307,-0.024423283,0.034641497,-0.008808609,0.05092389,-0.11444068,0.36234078,-0.07934043,-0.15279528,-0.049351927,0.04057882,0.05265896,-0.056649987,0.10451463,0.10234606,-0.019846994,0.027177054,-0.15687695,-0.008677777,-0.063975096,-0.098816186,-0.02168927,0.03567582
2022-08-31,0.03446896,0.016182978,0.021954585,-0.120666206,-0.10056889,-0.025071234,-0.09043543,-0.0063244067,0.09665656,0.05255455,0.03181303,-0.1223173,0.38527748,-0.11112659,-0.1723427,-0.07669954,-0.009211514,0.08376223,-0.0846636,0.034614433,0.09647408,0.01309583,0.086116195,-0.17367682,0.014090519,-0.2891545,-0.14282262,-0.025955912,0.05612595
2022-09-30,0.115330935,0.10599905,0.0070968755,-0.19599384,0.037822243,-0.010569077,-0.015856992,0.02922276,0.12664588,0.009893376,0.13402478,-0.08272758,0.23774585,-0.07980655,-0.11553912,0.07266083,0.017641727,0.07907886,0.011768643,0.08536379,0.039849717,-0.021007154,-0.019320954,-0.033414084,-0.02789649,-0.24323577,0.035412278,-0.04365788,-0.031121861
2022-10-31,0.07429981,0.09433071,-0.022825785,-0.13156274,-0.037763756,0.028257247,0.08195937,0.016677093,0.081094906,0.008697409,0.11434616,-0.07113807,0.3558447,-0.08392988,-0.07667628,0.063336074,-0.025466751,0.04897873,0.047642235,0.32649758,0.049240295,-0.01506887,-0.059110675,-0.056934696,-0.02150651,-0.12927629,0.04595365,-0.07359755,-0.061974127
