,交通运输(申万),传媒(申万),公用事业(申万),农林牧渔(申万),医药生物(申万),商贸零售(申万),国防军工(申万),基础化工(申万),家用电器(申万),建筑材料(申万),建筑装饰(申万),房地产(申万),有色金属(申万),机械设备(申万),汽车(申万),煤炭(申万),环保(申万),电力设备(申万),电子(申万),石油石化(申万),社会服务(申万),纺织服饰(申万),综合(申万),美容护理(申万),计算机(申万),轻工制造(申万),通信(申万),钢铁(申万),食品饮料(申万)
beta,0.013700002606829607,0.08224658025795692,-0.13320284992724665,0.007002161047701997,-0.0031310403051739094,-0.008690229957281496,0.11265398388098062,0.17101348297715524,-0.1894294604679378,-0.10491568098355869,-0.18946883197359968,-0.04489084438287448,0.0012720582903611014,0.16302333795368842,0.17273153645953002,-0.13819754521607183,-0.00473880673407944,0.09243775443221577,0.28001789764159196,-0.03824923314240462,0.0058542781678607245,0.05211430289071971,0.0593696684662653,-0.041873176844586586,0.08522343473938997,0.12373789024965846,0.04058080045423618,-0.20166444318086926,-0.1778918860690395
mom,-0.20644782568852926,-0.0113439365272389,-0.2664696872270699,0.008466371316112888,0.15193382348692094,-0.06521689058630879,-0.03233960437429023,-0.034071109439757385,0.06661805898509332,0.05817140068476487,-0.24452987234523263,-0.06628801926494486,-0.04611853019465623,-0.07519551765491427,-0.16769166740115563,-0.25677722443891865,-0.23172013502259972,0.08900528964449694,-0.006850499104743745,-0.3258490316085206,0.06120713752921914,-0.19072303418855283,-0.06768695925011195,0.1742577395334014,-0.069154404161841,-0.06323115855191876,-0.03337272546380482,-0.1050593902788209,-0.0021835095462654276
size,0.12696846482637655,0.2360415058368892,0.22244453730851438,0.018526352408174275,0.1118200712927215,0.009156663741751444,0.006137151348806155,0.2447676635986984,0.1339209697230538,0.05977913049308652,0.20544273517996134,0.2871995902592371,0.1290936731604022,0.0992769442489642,0.11147912059806708,0.17056075264647105,0.20165733551608564,-0.06870834961600217,0.12668555269462964,0.10928427477174141,0.1524955297113334,0.09638630080902842,0.2258119160267105,-0.049851111187899394,0.07444611648288604,0.20526276503932533,0.11785769428873871,0.18239834290163032,0.045655457611681834
earning,-0.13795241320584625,-0.1627709048143319,-0.04647877044846979,-0.03767500315362173,-0.3667890660630785,0.030622434167796767,-0.37174663943471115,-0.29527451045424,-0.29569820462638596,0.005022818909139457,-0.20765748368181727,0.05525571962960077,-0.2475954227395643,-0.35976674996404234,-0.1968010787352186,-0.38010329798758713,-0.391178010512232,-0.346756029220823,-0.28911158367404405,-0.14527994177853507,-0.05112754613181522,-0.22078984211706254,0.019826244650774927,-0.10869496388496247,-0.2460032788796518,-0.2569950811434738,0.00612122215575844,-0.12147860576684154,-0.24024977232308595
growth,-0.09074821643624169,0.04475505498251493,0.13820847186871307,0.0844178225402856,-0.2690847241534207,0.11848442937104556,0.13157172066976275,-0.029943209055348342,-0.034066080587175966,0.23861920258165434,-0.015651268974699515,0.11627613771719252,-0.23327695343274665,-0.07178858986902849,-0.15811238550105322,-0.2109035279601308,-0.14272480716602343,-0.3072307686922745,0.04045026911656088,-0.04992427295231235,0.06223768375244836,-0.08132557401574818,-0.08543335969952853,-0.10275076196443246,-0.0855770268934773,-0.11325288618649126,0.042356821879521944,-0.037373460604177525,0.18666740822338546
bookToPrice,-0.31818665179562516,-0.25992937761448126,-0.27820298938023,-0.28629493762327607,-0.24191151871427413,-0.10320554130543955,-0.16782704542856686,-0.23187158806050587,-0.15469114758872016,-0.32636475772654766,-0.23296153854018556,-0.276047212814051,-0.2539162579548636,-0.24559214509517074,-0.1785304074741524,-0.3018878080390332,-0.3025762854027714,-0.13713590395021466,-0.25277677124875386,-0.3241148761321187,-0.24784690559393224,-0.3206762605596579,-0.24030961715003682,-0.05293429300672074,-0.24960294135353417,-0.2136543432475431,-0.24018580407346862,-0.22940669626964258,-0.21689523045288958
leverage,-0.06452593589156837,-0.1766867409989576,0.06773874641957266,0.04046870395719943,0.06629795761597651,-0.10050388750799316,-0.005494840854151743,-0.1245381667396466,0.07277820228596786,0.20573941454918782,0.06547209198010837,-0.08454040489305541,-0.09393484401924848,-0.14950759093727253,0.1620989653322731,-0.23496867565770707,0.11792425071110209,-0.0017434341745519626,-0.018651287813085973,0.021777628879098062,-0.3615199307236912,-0.03136868520268591,0.0728372466748444,0.10611888754511477,-0.03126109778494077,-0.11219048982292859,0.011937785907147572,-0.08850282574612627,0.19953977695556882
liquidity,0.18009854063287123,0.20010022641280278,0.17273226742814732,0.12541837826258037,0.18314858559397837,0.0055108653619382626,0.18011524031636872,0.07317948721787783,0.17455097609818215,0.11232517742398432,0.09115442410697347,0.018001752130169184,0.19879913329747612,0.09844930503300837,0.1787860617176076,0.21718773563780475,0.1735507057977356,0.1635313807519608,0.28769255183532594,-0.01202729110009058,0.03543869324634143,0.11372359225778252,0.17946638085502162,0.41603185240853024,0.08516989063496926,0.19671695877883305,0.14991843872491073,0.1074515193462206,0.20739835563559764
nonLinearSize,0.024878127194907385,-0.0680225589976857,0.06556191831276467,0.006020579176207275,0.035730246109240256,0.01398100739794036,-0.03270484051018342,-0.12721976951414818,-0.03188437148773665,0.05846682620938772,-0.01602696911987068,0.047899099888685695,-0.0032650012782580746,0.002598114093672504,0.003542633061753829,-0.059508217653622415,0.0402167633184176,-0.2096633870753382,0.02643822092029853,0.03226844068853244,-0.0059094880289343316,-0.004244956865974394,-0.02770712933218577,-0.08434826585590803,-0.007931321210266958,-0.060319624932228866,-0.188192358115244,-0.016025853056994773,0.020908320161506587
residualVolatility,0.051705970250864305,0.06224860217911703,-0.05437146520972415,-0.023070086013031586,0.14155602958651814,0.03606738704710259,0.09147798326491209,0.11744692635075334,0.07157868261445095,0.1335261193391012,-0.04428027290125388,-0.06331628717411206,0.06326985834033749,0.16835603087156956,0.0754153137324783,-0.03601316388322723,0.10782472434241551,0.018595888037533932,0.2224814921027459,-0.02301827306618807,0.058078494827572505,0.148784574910776,0.15786231696648595,0.05412576973287977,0.12869601621323656,0.18252881057944162,-0.06363791321617995,-0.09703465018225113,0.07282430250951642
