0,turn,mfd_netbuyamt,mfd_netbuyvol,mfd_netbuyamt_a,mfd_netbuyvol_a,mfd_buyvol_open_m,mfd_buyvol_close_m,mkt_cap_ard,pe_ttm,ps_ttm,pb_lf,pcf_ocf_ttm,dividendyield2,mkt_freeshares,netprofit_ttm,operatecashflow_ttm,cashflow_ttm,tech_upnum,tech_downnum,west_netprofit_YOY,west_netprofit_CAGR,west_avgroe_YOY,west_sales_YOY,west_avgebit_YOY,west_avgebt_YOY,west_avgoperatingprofit_YOY,west_avgoc_YOY,yoy_or,yoynetprofit,yoyocf,yoyfcf,yoyroe,invturndays,arturndays,netturndays,current,quick,debttoassets,ocftosales,roe_avg,roa,netprofitmargin,expensetosales,operateexpensetogr,val_pb_wgt,val_pe_avg,tech_uppct,tech_downpct
2010-01-04,1.7673,,,,,,,,66.79000092,5.9975,5.019999981,34.8539,0.2171,60843913138.0,1579539541,4036822326,1268632929.0,10,3,,,,,,,,,,,34.0737,,,119.7885,30.9714,30.9714,1.761416,1.304572,36.3268,19.63,1.6823,4.513,9.3202,16.8156,7.0592,5.1115,78.5906,71.4286,21.4286
2010-01-05,1.7865,,,,,,,,68.08999634,6.0886,5.119999886,35.3832,0.2139,61872599379.0,1579539541,4036822326,1268632929.0,11,2,,,,,,,,,,,34.0737,,,119.7885,30.9714,30.9714,1.761416,1.304572,36.3268,19.63,1.6823,4.513,9.3202,16.8156,7.0592,5.1891,79.9096,78.5714,14.2857
2010-01-06,1.9152,,,,,,,,67.72000122,6.0417,5.090000153,35.1106,0.2155,61528680003.0,1579539541,4036822326,1268632929.0,5,9,,,,,,,,,,,34.0737,,,119.7885,30.9714,30.9714,1.761416,1.304572,36.3268,19.63,1.6823,4.513,9.3202,16.8156,7.0592,5.1492,79.1616,35.7143,64.2857
2010-01-07,2.1376,,,,,,,,67.08000183,5.9777,5.039999962,34.7385,0.2179,60824263680.0,1579539541,4036822326,1268632929.0,4,10,,,,,,,,,,,34.0737,,,119.7885,30.9714,30.9714,1.761416,1.304572,36.3268,19.63,1.6823,4.513,9.3202,16.8156,7.0592,5.0946,77.6206,28.5714,71.4286
2010-01-08,2.3908,,,,,,,,69.13999939,6.1134,5.190000057,35.5272,0.213,62168305051.0,1579539541,4036822326,1268632929.0,10,3,,,,,,,,,,,34.0737,,,119.7885,30.9714,30.9714,1.761416,1.304572,36.3268,19.63,1.6823,4.513,9.3202,16.8156,7.0592,5.2103,79.3802,71.4286,21.4286
2010-01-11,3.1847,,,,,,,,71.23999786,6.2543,5.349999905,36.3464,0.2082,63658244254.0,1579539541,4036822326,1268632929.0,13,1,,,,,,,,,,,34.0737,,,119.7885,30.9714,30.9714,1.761416,1.304572,36.3268,19.63,1.6823,4.513,9.3202,16.8156,7.0592,5.3304,81.1415,92.8571,7.1429
2010-01-12,2.4145,,,,,,,,71.88999939,6.3133,5.400000095,36.6889,0.2063,64288685755.0,1579539541,4036822326,1268632929.0,10,4,,,,,,,,,,,34.0737,,,119.7885,30.9714,30.9714,1.761416,1.304572,36.3268,19.63,1.6823,4.513,9.3202,16.8156,7.0592,5.3806,81.6501,71.4286,28.5714
2010-01-13,4.4729,,,,,,,,73.80000305,6.4864,5.539999962,37.6947,0.2008,65988716588.0,1579539541,4036822326,1268632929.0,13,0,,,,,,,,,,,34.0737,,,119.7885,30.9714,30.9714,1.761416,1.304572,36.3268,19.63,1.6823,4.513,9.3202,16.8156,7.0592,5.5281,83.5371,92.8571,0.0
2010-01-14,4.6653,,,,,,,,75.86000061,6.6611,5.699999809,38.7101,0.1955,67731759418.0,1579539541,4036822326,1268632929.0,14,0,,,,,,,,,,,34.0737,,,119.7885,30.9714,30.9714,1.761416,1.304572,36.3268,19.63,1.6823,4.513,9.3202,16.8156,7.0592,5.6771,87.6085,100.0,0.0
2010-01-15,2.8864,,,,,,,,76.15000153,6.6148,5.699999809,38.4411,0.1969,67114095380.0,1579539541,4036822326,1268632929.0,2,12,,,,,,,,,,,34.0737,,,119.7885,30.9714,30.9714,1.761416,1.304572,36.3268,19.63,1.6823,4.513,9.3202,16.8156,7.0592,5.6376,86.5765,14.2857,85.7143
