,index_code,con_code,in_date,out_date,is_new
0,801760.SI,000038.SZ,20160701,20211210,N
1,801760.SI,000156.SZ,20140221,,Y
2,801760.SI,000503.SZ,20140221,20160630,N
3,801760.SI,000504.SZ,20140221,20190705,N
4,801760.SI,000526.SZ,20170703,20211210,N
5,801760.SI,000529.SZ,20190708,20230517,N
6,801760.SI,000607.SZ,20150701,,Y
7,801760.SI,000665.SZ,20140221,,Y
8,801760.SI,000673.SZ,20140221,20220610,N
9,801760.SI,000676.SZ,20170703,,Y
10,801760.SI,000681.SZ,20140702,,Y
11,801760.SI,000719.SZ,20140221,,Y
12,801760.SI,000793.SZ,20140221,,Y
13,801760.SI,000802.SZ,20150701,20151027,N
14,801760.SI,000802.SZ,20160701,,Y
15,801760.SI,000835.SZ,20150701,20220426,N
16,801760.SI,000892.SZ,20160701,,Y
17,801760.SI,000917.SZ,20140221,,Y
18,801760.SI,001330.SZ,20220825,,Y
19,801760.SI,002027.SZ,20160701,,Y
20,801760.SI,002071.SZ,20150701,20151102,N
21,801760.SI,002071.SZ,20160219,20210319,N
22,801760.SI,002095.SZ,20140221,,Y
23,801760.SI,002103.SZ,20170703,20220729,N
24,801760.SI,002113.SZ,20170703,20230810,N
25,801760.SI,002123.SZ,20170703,20211210,N
26,801760.SI,002131.SZ,20160216,20230705,N
27,801760.SI,002137.SZ,20170703,20220729,N
28,801760.SI,002143.SZ,20150701,20151102,N
29,801760.SI,002143.SZ,20160129,20191017,N
30,801760.SI,002148.SZ,20140221,20211210,N
31,801760.SI,002168.SZ,20190708,20230705,N
32,801760.SI,002174.SZ,20140702,,Y
33,801760.SI,002175.SZ,20160701,20211210,N
34,801760.SI,002181.SZ,20140221,,Y
35,801760.SI,002188.SZ,20170703,20220729,N
36,801760.SI,002238.SZ,20140221,,Y
37,801760.SI,002247.SZ,20170703,20220729,N
38,801760.SI,002261.SZ,20140221,20211210,N
39,801760.SI,002264.SZ,20231211,,Y
40,801760.SI,002291.SZ,20211213,,Y
41,801760.SI,002292.SZ,20140221,,Y
42,801760.SI,002306.SZ,20220801,20230705,N
43,801760.SI,002315.SZ,20140221,20211210,N
44,801760.SI,002343.SZ,20160701,,Y
45,801760.SI,002354.SZ,20140702,20201207,N
46,801760.SI,002354.SZ,20201209,,Y
47,801760.SI,002400.SZ,20140221,,Y
48,801760.SI,002425.SZ,20170703,,Y
49,801760.SI,002445.SZ,20160701,20201230,N
50,801760.SI,002445.SZ,20210104,20220729,N
51,801760.SI,002447.SZ,20180716,20220602,N
52,801760.SI,002464.SZ,20170703,20220606,N
53,801760.SI,002502.SZ,20160701,20230705,N
54,801760.SI,002517.SZ,20160701,,Y
55,801760.SI,002555.SZ,20140702,,Y
56,801760.SI,002558.SZ,20170602,,Y
57,801760.SI,002591.SZ,20180716,20220729,N
58,801760.SI,002602.SZ,20170703,,Y
59,801760.SI,002605.SZ,20211213,,Y
60,801760.SI,002607.SZ,20190530,20211210,N
61,801760.SI,002619.SZ,20160701,20220427,N
62,801760.SI,002621.SZ,20190708,20211210,N
63,801760.SI,002624.SZ,20150701,20151102,N
64,801760.SI,002624.SZ,20160219,,Y
65,801760.SI,002638.SZ,20180716,20211210,N
66,801760.SI,002640.SZ,20150701,20151102,N
67,801760.SI,002654.SZ,20170703,20211210,N
68,801760.SI,002659.SZ,20180716,20211210,N
69,801760.SI,002699.SZ,20180716,20240604,N
70,801760.SI,002712.SZ,20140221,,Y
71,801760.SI,002739.SZ,20150129,,Y
72,801760.SI,002858.SZ,20170331,20211210,N
73,801760.SI,002878.SZ,20170613,20211210,N
74,801760.SI,002878.SZ,20220801,,Y
75,801760.SI,002905.SZ,20171023,,Y
76,801760.SI,002919.SZ,20230919,,Y
77,801760.SI,002995.SZ,20200812,,Y
78,801760.SI,003010.SZ,20201012,20211210,N
79,801760.SI,003032.SZ,20210119,20211210,N
