0,short_value,long_value,all_ind,short_return,long_return,all_return,speed
2018-01-01,1.0404345191369964,1.112257760941826,1.0394703318914684,1,1,1,0
2018-02-01,1.1146458490711633,1.0522012609366194,1.0342450566165668,1,0,0,0
2018-03-01,1.1647213996139298,1.0629608520637064,1.026401096799585,1,1,0,0
2018-04-01,1.2219189800015544,1.0251482017865914,1.0096420617197868,1,0,0,0
2018-05-01,1.2404385643718414,1.126433574090206,1.0029654586096945,1,1,0,0
2018-06-01,1.3335006678939598,1.0166087780441126,0.980647543001908,1,0,0,0
2018-07-01,1.3275166786027506,1.0228327756350966,0.9548709393939188,0,1,0,0
2018-08-01,1.4408639087404764,0.9258300240906728,0.9251972578086685,1,0,0,0
2018-09-01,1.4418458295236047,0.9501911630559158,0.8964345017395848,1,1,0,0
2018-10-01,1.6264958361705624,0.8021674350736478,0.8582066354756717,1,0,0,0
2018-11-01,1.57330828865355,0.841276751005927,0.8201478420796894,0,1,0,0
2018-12-01,1.6522304770452594,0.8211511250136583,0.792070642330358,1,0,0,0
2019-01-01,1.5700654279674835,0.8230612518376453,0.7672528726969708,0,1,0,0
2019-02-01,1.3292883541407772,1.0121199918476933,0.7756334157353161,0,1,1,0
2019-03-01,1.160099034416439,1.081736723411107,0.7964179211978138,0,1,1,0
2019-04-01,1.201434443637304,1.0204154328841486,0.8309680671382657,1,0,1,1
2019-05-01,1.2741452950351189,0.9686678503374604,0.8522899196416588,1,0,1,0
2019-06-01,1.1896937149342592,0.9772242938066028,0.8828603960817302,0,1,1,0
2019-07-01,1.22702743341694,0.9683559056791954,0.9091436383564595,1,0,1,0
2019-08-01,1.2560337574551943,0.9495667124968402,0.914690043165422,1,0,1,0
2019-09-01,1.2235302365525973,0.9390512547133456,0.9063202926141707,0,0,0,0
2019-10-01,1.1856001167906631,0.934627936908894,0.9014083530851407,0,0,0,0
2019-11-01,1.1777468398347164,0.917177875835675,0.9034645552657944,0,0,1,0
2019-12-01,1.0989876843103836,0.9685823461273744,0.9119036719464134,0,1,1,0
2020-01-01,1.1655344745399927,0.978298002707066,0.919749810063543,1,1,1,0
2020-02-01,1.181170055251237,1.007043727249794,0.9275943639623835,1,1,1,0
2020-03-01,1.2341886488028282,0.8871168273334166,0.928979281932692,1,0,1,0
2020-04-01,1.1303800776017392,0.9280535011805836,0.9380873489306413,0,1,1,0
2020-05-01,1.1400077790324206,0.9919300633640492,0.9542756127926081,1,1,1,0
2020-06-01,1.103169662015626,1.1049827104858427,0.9730316823289277,0,1,1,0
2020-07-01,1.0048492712642905,1.3050802692470975,1.0214915335979884,0,1,1,1
2020-08-01,0.9712137323221888,1.3348542717326917,1.0736261630708306,0,1,1,1
2020-09-01,1.0269206934554005,1.2511451007209111,1.1189860244788883,1,0,1,1
2020-10-01,1.0335657209700628,1.259232502415086,1.1574856690481994,1,1,1,1
2020-11-01,1.002543542347037,1.277323267340376,1.1980140041501992,0,1,1,1
2020-12-01,1.0129579857899702,1.38474352922462,1.2379336175194626,1,1,1,1
2021-01-01,1.0506046106521187,1.4190626335028056,1.2513738001526733,1,1,1,1
2021-02-01,1.018461852379845,1.3810412417777147,1.2614229635383107,0,0,1,1
2021-03-01,1.0385469605324271,1.371133137904654,1.279927835462183,1,0,1,1
2021-04-01,0.9932226616009666,1.3842967678553997,1.3043286020654132,0,1,1,1
2021-05-01,0.9691516055127296,1.4099349977745894,1.3328169347503487,0,1,1,1
2021-06-01,0.9952813010716396,1.3944902272283393,1.3450828580112673,1,0,1,1
2021-07-01,1.1158588175013036,1.4346237497864205,1.339288353302405,1,1,0,1
2021-08-01,1.0872451804198688,1.492985221877496,1.338157009271977,0,1,0,1
2021-09-01,1.1751223066502037,1.4816487298927117,1.3424915012346716,1,0,1,1
2021-10-01,1.186816023155501,1.424034353415793,1.3394663091085988,1,0,0,1
2021-11-01,1.1416875971583391,1.429826291080761,1.3276288886052383,0,1,0,1
2021-12-01,1.1974989632499689,1.4701955904056454,1.3247473794200537,1,1,0,1
2022-01-01,1.324349277987494,1.4010658624829306,1.3180538591218045,1,0,0,1
2022-02-01,1.314425276971078,1.5032616303403008,1.3112757528827679,0,1,0,1
2022-03-01,1.4328330023723457,1.520316766348912,1.2886041322523532,1,1,0,1
2022-04-01,1.6064988466994785,1.426059960606172,1.2509024527772816,1,0,0,1
2022-05-01,1.5485657305073577,1.553243628299341,1.2208852362850262,0,1,0,1
2022-06-01,1.5201369546103762,1.6783254673352697,1.2040020805312472,0,1,0,1
2022-07-01,1.5571632967553697,1.7004988874038085,1.1991017114536493,1,1,0,1
2022-08-01,1.6564198425555523,1.6714358467431103,1.1832065138303387,1,0,0,1
2022-09-01,1.7552900705740275,1.568689300742166,1.169364788440095,1,0,0,1
2022-10-01,1.82521842444209,1.5577764649840316,1.1581240807290483,1,0,0,1
2022-11-01,1.7542485420079266,1.8006901696814617,1.155061942369307,0,1,0,1
2022-12-01,1.8380847170941776,1.7462253683008109,1.1339931828823857,1,0,0,1
2023-01-01,1.7827245543182677,1.8356144428079255,1.1335314115407586,0,1,0,1
2023-02-01,1.750515188221662,1.8730945145017708,1.1397838260591686,0,1,1,1
2023-03-01,1.7464594250465098,1.8528215991267103,1.1549745274672898,0,0,1,1
2023-04-01,1.7634032928580208,1.82015166578861,1.1754348339727918,1,0,1,1
2023-05-01,1.8766425349984024,1.7464457849220287,1.1688879811695287,1,0,0,1
2023-06-01,1.861841427197018,1.7705232243347062,1.164029409994109,0,1,0,1
2023-07-01,1.838053572507114,1.7987477584678893,1.1544409570896372,0,1,0,1
2023-08-01,1.946006501890317,1.7079315129699986,1.1319888355610839,1,0,0,1
2023-09-01,1.979960084015926,1.7382696026185829,1.1114102784761541,1,1,0,1
2023-10-01,2.0719748726845904,1.7064289098218473,1.0914184338055888,1,0,0,0
2023-11-01,2.0379141867582726,1.6915931522449497,1.0816794943084693,0,0,0,0
2023-12-01,2.1048138026492684,1.6789254131765423,1.0645180819280753,1,0,0,0
2024-01-01,2.4858649560634847,1.5936620188468174,1.021196105176705,1,0,0,0
2024-02-01,2.295324338011985,1.7388437994142818,1.0024780285897086,0,1,0,0
2024-03-01,2.266019336682015,1.8432005254283896,0.9889898101948068,0,1,0,0
